"Path","Lines","KB"
"pages\excelmerge\not-found.tsx","19","0,7"
"components\ui\textarea.tsx","19","0,6"
"pages\not-found.tsx","19","0,7"
"components\ui\input.tsx","19","0,8"
"lib\specs\test-rules.ts","18","0,6"
"main.tsx","17","0,6"
"hooks\useOnlineStatus.ts","15","0,4"
"components\layout\PageFallback.tsx","15","0,6"
"hooks\use-mobile.tsx","15","0,6"
"hooks\useDB.ts","14","0,6"
"stories\Button.stories.tsx","13","0,3"
"config\widgets.ts","13","0,7"
"components\ui\skeleton.tsx","13","0,3"
"components\ui\spinner.tsx","13","0,3"
"lib\safeClone.ts","12","0,4"
"pages\useDebounce.ts","12","0,4"
"config\brand.ts","10","0,4"
"theme\useTheme.ts","9","0,3"
"domain\index.ts","7","0,3"
"components\ui\collapsible.tsx","6","0,3"
"components\settings\index.ts","6","0,3"
"lib\utils.ts","5","0,2"
"theme\index.ts","4","0,3"
"components\ui\aspect-ratio.tsx","3","0,1"
"__tests__\setup.ts","2","0,1"
